,infections C1,infections C2,infections C3,infections C4,AV total mileage,SCC C1,SCC C2,SCC C3,SCC C4,OM C1,OM C3,OM C4,deaths C1,deaths C2,deaths C3,deaths C4,VSL C1,VSL C2,VSL C3,VSL C4,externalities C1,externalities C2,externalities C3,externalities C4,OM C2,total C1,total C2,total C3,total C4
10,111,77,67,76,2011164.2598238494,316338.94800588477,632677.8960117695,361187.9109999566,466648.824126528,17048389.40668889,18858437.240530357,17048389.40668889,3.7962000000000002,2.6334,2.2914,2.5992,44035920.0,30547440.0,26580240.0,30150720.000000004,170558.78074799996,341117.5614959999,371675.2067303849,170558.78074799996,34096778.81337778,61571207.13544278,65618014.27088555,46171540.3582607,47836317.01156343
11,117,87,74,81,2009952.9045597804,316338.94800588477,632677.8960117695,361160.89777756785,466648.824126528,17048389.40668889,18857347.020792693,17048389.40668889,4.0014,2.9754,2.5308,2.7702,46416240.0,34514640.0,29357280.000000004,32134320.0,170558.78074799996,341117.5614959999,371554.07120397803,170558.78074799996,34096778.81337778,63951527.13544278,69585214.27088556,48947341.989774235,49819917.01156342
12,124,99,86,73,2020668.8926790745,316338.94800588477,632677.8960117695,361399.8643126281,466648.824126528,17048389.40668889,18866991.410100058,17048389.40668889,4.2408,3.3858,2.9412000000000003,2.4966,49193280.0,39275280.0,34117920.0,28960560.0,170558.78074799996,341117.5614959999,372625.67001590744,170558.78074799996,34096778.81337778,66728567.13544278,74345854.27088556,53718936.94442859,46646157.01156342
13,109,80,68,87,2018619.7715696143,316338.94800588477,632677.8960117695,361354.16891188716,466648.824126528,17048389.40668889,18865147.201101545,17048389.40668889,3.7278000000000002,2.736,2.3256,2.9754,43242480.0,31737600.000000004,26976960.0,34514640.0,170558.78074799996,341117.5614959999,372420.7579049614,170558.78074799996,34096778.81337778,60777767.13544278,66808174.27088555,46575882.12791839,52200237.01156342
14,119,88,72,78,2022330.463731493,316338.94800588477,632677.8960117695,361436.91734709707,466648.824126528,17048389.40668889,18868486.824047234,17048389.40668889,4.0698,3.0096000000000003,2.4624,2.6676,47209680.0,34911360.0,28563840.0,30944160.000000004,170558.78074799996,341117.5614959999,372791.8271211493,170558.78074799996,34096778.81337778,64744967.13544278,69981934.27088556,48166555.56851548,48629757.01156343
15,108,105,84,85,2005856.2293195403,316338.94800588477,632677.8960117695,361069.5419197105,466648.824126528,17048389.40668889,18853660.013076477,17048389.40668889,3.6936,3.591,2.8728000000000002,2.907,42845760.0,41655600.0,33324480.000000004,33721200.0,170558.78074799996,341117.5614959999,371144.403679954,170558.78074799996,34096778.81337778,60381047.13544278,76726174.27088556,52910353.958676144,51406797.01156342
16,124,92,69,92,2014216.45691113,316338.94800588477,632677.8960117695,361255.97499500297,466648.824126528,17048389.40668889,18861184.217908908,17048389.40668889,4.2408,3.1464000000000003,2.3598,3.1464000000000003,49193280.0,36498240.0,27373680.0,36498240.0,170558.78074799996,341117.5614959999,371980.426439113,170558.78074799996,34096778.81337778,66728567.13544278,71568814.27088556,46968100.61934302,54183837.01156342
17,129,81,74,83,2022560.9585027846,316338.94800588477,632677.8960117695,361442.0573804969,466648.824126528,17048389.40668889,18868694.269341398,17048389.40668889,4.4118,2.7702,2.5308,2.8386,51176880.00000001,32134320.0,29357280.000000004,32927760.0,170558.78074799996,341117.5614959999,372814.8765982784,170558.78074799996,34096778.81337778,68712167.13544278,67204894.27088556,48960231.203320175,50613357.01156342
18,99,83,68,71,2004978.0218598747,316338.94800588477,632677.8960117695,361049.95789336,466648.824126528,17048389.40668889,18852869.62636278,17048389.40668889,3.3858,2.8386,2.3256,2.4282,39275280.0,32927760.0,26976960.0,28167120.0,170558.78074799996,341117.5614959999,371056.58293398743,170558.78074799996,34096778.81337778,56810567.13544278,67998334.27088556,46561936.16719012,45852717.01156342
19,123,66,55,96,2036323.7228699496,316338.94800588477,632677.8960117695,361748.96702588466,466648.824126528,17048389.40668889,18881080.757271845,17048389.40668889,4.2066,2.2572,1.881,3.2832,48796560.0,26183520.0,21819600.0,38085120.0,170558.78074799996,341117.5614959999,374191.15303499496,170558.78074799996,34096778.81337778,66331847.13544278,61254094.27088555,41436620.87733272,55770717.01156342
